name,latitude,longitude
004522.798,0.4840885,0.0995301
004523.798,0.4840885,0.0995301
004524.798,0.4840885,0.0995301
004525.798,0.4840885,0.0995301
004526.798,0.4840885,0.0995301
004527.798,0.4840885,0.0995301
004528.798,0.4840885,0.0995301
004529.798,0.4840885,0.0995301
004530.798,0.4840885,0.0995301
004531.798,0.4840885,0.0995301
004532.798,0.4840885,0.0995301
004533.798,0.4840885,0.0995301
004534.798,0.4840885,0.0995301
004535.798,0.4840885,0.0995301
004536.798,0.4840885,0.0995301
004537.798,0.4840885,0.0995301
004538.798,0.4840885,0.0995301
004539.798,0.4840885,0.0995301
004540.798,0.4840885,0.0995301
004541.798,0.4840885,0.0995301
004542.798,0.4840885,0.0995301
004543.798,0.4840885,0.0995301
004544.798,0.4840885,0.0995301
004545.798,0.4840885,0.0995301
004546.798,0.4840885,0.0995301
004547.798,0.4840885,0.0995301
004548.798,0.4840885,0.0995301
004549.798,0.4840885,0.0995301
004550.798,0.4840885,0.0995301
004551.798,0.4840885,0.0995301
004552.798,0.4840885,0.0995301
004553.798,0.4840885,0.0995301
004554.798,0.4840885,0.0995301
004555.798,0.4840885,0.0995301
004556.798,0.4840885,0.0995301
004557.798,0.4840885,0.0995301
004558.798,0.4840885,0.0995301
004559.798,0.4840885,0.0995301
004600.798,0.4840885,0.0995301
004601.798,0.4840885,0.0995301
004602.798,0.4840885,0.0995301
004603.798,0.4840885,0.0995301
004604.798,0.4840885,0.0995301
004605.798,0.4840885,0.0995301
004606.798,0.4840885,0.0995301
004607.798,0.4840885,0.0995301
004608.798,0.4840885,0.0995301
004609.798,0.4840885,0.0995301
004610.798,0.4840885,0.0995301
004611.798,0.4840885,0.0995301
004612.798,0.4840885,0.0995301
004613.798,0.4840885,0.0995301
004614.798,0.4840885,0.0995301
004615.798,0.4840885,0.0995301
004616.798,0.4840885,0.0995301
004617.798,0.4840885,0.0995301
004618.798,0.4840885,0.0995301
004619.798,0.4840885,0.0995301
004620.798,0.4840885,0.0995301
004621.798,0.4840885,0.0995301
004622.798,0.4840885,0.0995301
004623.798,0.4840885,0.0995301
004624.798,0.4840885,0.0995301
004625.798,0.4840885,0.0995301
004626.798,0.4840885,0.0995301
004627.798,0.4840885,0.0995301
004628.798,0.4840885,0.0995301
004629.798,0.4840885,0.0995301
004630.798,0.4840885,0.0995301
004631.798,0.4840885,0.0995301
004632.798,0.4840885,0.0995301
004633.798,0.4840885,0.0995301
004634.798,0.4840885,0.0995301
004635.798,0.4840885,0.0995301
004636.798,0.4840885,0.0995301
004637.798,0.4840885,0.0995301
004638.798,0.4840885,0.0995301
004639.798,0.4840885,0.0995301
004640.798,0.4840885,0.0995301
004641.798,0.4840885,0.0995301
004642.798,0.4840885,0.0995301
004643.798,0.4840885,0.0995301
004644.798,0.4840885,0.0995301
004645.798,0.4840885,0.0995301
004646.798,0.4840885,0.0995301
004647.798,0.4840885,0.0995301
004648.798,0.4840885,0.0995301
004649.798,0.4840885,0.0995301
004650.798,0.4840885,0.0995301
004651.798,0.4840885,0.0995301
004652.798,0.4840885,0.0995301
004653.798,0.4840885,0.0995301
004654.798,0.4840885,0.0995301
004655.798,0.4840885,0.0995301
004656.798,0.4840885,0.0995301
004657.798,0.4840885,0.0995301
004658.798,0.4840885,0.0995301
004659.798,0.4840885,0.0995301
004700.798,0.4840885,0.0995301
004701.798,0.4840885,0.0995301
004702.798,0.4840885,0.0995301
004703.798,0.4840885,0.0995301
004704.798,0.4840885,0.0995301
004705.798,0.4840885,0.0995301
004706.798,0.4840885,0.0995301
004707.798,0.4840885,0.0995301
004708.798,0.4840885,0.0995301
004709.798,0.4840885,0.0995301
004710.798,0.4840885,0.0995301
004711.798,0.4840885,0.0995301
004712.798,0.4840885,0.0995301
004713.798,0.4840885,0.0995301
004714.798,0.4840885,0.0995301
004715.798,0.4840885,0.0995301
004716.798,0.4840885,0.0995301
004717.798,0.4840885,0.0995301
004718.798,0.4840885,0.0995301
004719.798,0.4840885,0.0995301
004720.798,0.4840885,0.0995301
004721.798,0.4840885,0.0995301
004722.798,0.4840885,0.0995301
004723.798,0.4840885,0.0995301
004724.798,0.4840885,0.0995301
004725.798,0.4840885,0.0995301
004726.798,0.4840885,0.0995301
004727.798,0.4840885,0.0995301
004728.798,0.4840885,0.0995301
004729.798,0.4840885,0.0995301
004730.798,0.4840885,0.0995301
004731.798,0.4840885,0.0995301
004732.798,0.4840885,0.0995301
004733.798,0.4840885,0.0995301
004734.798,0.4840885,0.0995301
004735.798,0.4840885,0.0995301
004736.798,0.4840885,0.0995301
004737.798,0.4840885,0.0995301
004738.798,0.4840885,0.0995301
004739.798,0.4840885,0.0995301
004740.798,0.4840885,0.0995301
004741.798,0.4840885,0.0995301
004742.798,0.4840885,0.0995301
004743.798,0.4840885,0.0995301
004744.798,0.4840885,0.0995301
004745.798,0.4840885,0.0995301
004746.798,0.4840885,0.0995301
004747.798,0.4840885,0.0995301
004748.798,0.4840885,0.0995301
004749.798,0.4840885,0.0995301
004750.798,0.4840885,0.0995301
004751.798,0.4840885,0.0995301
004752.798,0.4840885,0.0995301
004753.798,0.4840885,0.0995301
004754.798,0.4840885,0.0995301
004755.798,0.4840885,0.0995301
004756.798,0.4840885,0.0995301
004757.798,0.4840885,0.0995301
004758.798,0.4840885,0.0995301
004759.798,0.4840885,0.0995301
004800.798,0.4840885,0.0995301
004801.798,0.4840885,0.0995301
004802.798,0.4840885,0.0995301
004803.798,0.4840885,0.0995301
004804.798,0.4840885,0.0995301
004805.798,0.4840885,0.0995301
004806.798,0.4840885,0.0995301
004807.798,0.4840885,0.0995301
004808.798,0.4840885,0.0995301
004809.798,0.4840885,0.0995301
004810.798,0.4840885,0.0995301
004811.798,0.4840885,0.0995301
004812.798,0.4840885,0.0995301
004813.798,0.4840885,0.0995301
004814.798,0.4840885,0.0995301
004815.798,0.4840885,0.0995301
004816.798,0.4840885,0.0995301
004817.798,0.4840885,0.0995301
004818.798,0.4840885,0.0995301
004819.798,0.4840885,0.0995301
004820.798,0.4840885,0.0995301
004821.798,0.4840885,0.0995301
004822.798,0.4840885,0.0995301
004823.798,0.4840885,0.0995301
004824.798,0.4840885,0.0995301
004825.798,0.4840885,0.0995301
004826.798,0.4840885,0.0995301
004827.798,0.4840885,0.0995301
004828.798,0.4840885,0.0995301
004829.798,0.4840885,0.0995301
004830.798,0.4840885,0.0995301
004831.798,0.4840885,0.0995301
004832.798,0.4840885,0.0995301
004833.798,0.4840885,0.0995301
004834.798,0.4840885,0.0995301
004835.798,0.4840885,0.0995301
004836.798,0.4840885,0.0995301
004837.798,0.4840885,0.0995301
004838.798,0.4840885,0.0995301
004839.798,0.4840885,0.0995301
004840.798,0.4840885,0.0995301
004841.798,0.4840885,0.0995301
004842.798,0.4840885,0.0995301
004843.798,0.4840885,0.0995301
004844.798,0.4840885,0.0995301
004845.798,0.4840885,0.0995301
004846.798,0.4840885,0.0995301
004847.798,0.4840885,0.0995301
004848.798,0.4840885,0.0995301
004849.798,0.4840885,0.0995301
004850.798,0.4840885,0.0995301
004851.798,0.4840885,0.0995301
004852.798,0.4840885,0.0995301
004853.798,0.4840885,0.0995301
004854.798,0.4840885,0.0995301
004855.798,0.4840885,0.0995301
004856.798,0.4840885,0.0995301
004857.798,0.4840885,0.0995301
004858.798,0.4840885,0.0995301
004859.798,0.4840885,0.0995301
004900.798,0.4840885,0.0995301
004901.798,0.4840885,0.0995301
004902.798,0.4840885,0.0995301
004903.798,0.4840885,0.0995301
004904.798,0.4840885,0.0995301
004905.798,0.4840885,0.0995301
004906.798,0.4840885,0.0995301
004907.798,0.4840885,0.0995301
004908.798,0.4840885,0.0995301
004909.798,0.4840885,0.0995301
004910.798,0.4840885,0.0995301
004911.798,0.4840885,0.0995301
004912.798,0.4840885,0.0995301
004913.798,0.4840885,0.0995301
004914.798,0.4840885,0.0995301
004915.798,0.4840885,0.0995301
004916.798,0.4840885,0.0995301
004917.798,0.4840885,0.0995301
004918.798,0.4840885,0.0995301
004919.798,0.4840885,0.0995301
004920.798,0.4840885,0.0995301
004921.798,0.4840885,0.0995301
004922.798,0.4840885,0.0995301
004923.798,0.4840885,0.0995301
004924.798,0.4840885,0.0995301
004925.798,0.4840885,0.0995301
004926.798,0.4840885,0.0995301
004927.798,0.4840885,0.0995301
004928.798,0.4840885,0.0995301
004929.798,0.4840885,0.0995301
004930.798,0.4840885,0.0995301
004931.798,0.4840885,0.0995301
004932.798,0.4840885,0.0995301
004933.798,0.4840885,0.0995301
004934.798,0.4840885,0.0995301
004935.798,0.4840885,0.0995301
004936.798,0.4840885,0.0995301
004937.798,0.4840885,0.0995301
004938.798,0.4840885,0.0995301
004939.798,0.4840885,0.0995301
004940.798,0.4840885,0.0995301
